run_id,fold_id,protocol,model,train_start,train_end,test_start,test_end,runtime_seconds,notes,full_n,full_mae,full_rmse,full_mape,full_smape,full_wape,full_mase,full_rmsse,full_r2,full_bias,paired_n,paired_mae,paired_rmse,paired_mape,paired_smape,paired_wape,paired_mase,paired_rmsse,paired_r2,paired_bias,paired_seasonal_naive_n,paired_seasonal_naive_mae,paired_seasonal_naive_rmse,paired_seasonal_naive_mape,paired_seasonal_naive_smape,paired_seasonal_naive_wape,paired_seasonal_naive_mase,paired_seasonal_naive_rmsse,paired_seasonal_naive_r2,paired_seasonal_naive_bias,paired_mae_skill_vs_seasonal_naive,paired_rmse_skill_vs_seasonal_naive,full_interval_95_coverage,full_interval_95_mean_width,full_interval_95_winkler,paired_interval_95_coverage,paired_interval_95_mean_width,paired_interval_95_winkler,forecast_origin,target_available_through,target_publication_delay_months
ablation_20260811T165312Z_69334f2b,one_step_201501,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2014-12,2015-01,2015-01,0.034000799991190434,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,4093.021139428485,4093.021139428485,0.23229352143516618,0.23202403303670774,0.23229352143516616,0.022664219879006773,0.01750464196384237,,4093.021139428485,1.0,4093.021139428485,4093.021139428485,0.23229352143516618,0.23202403303670774,0.23229352143516616,0.022664219879006773,0.01750464196384237,,4093.021139428485,1.0,186605.0,186605.0,10.590498091945308,11.182647106148103,10.590498091945308,1.0332848540119186,0.7980544449665132,,-186605.0,0.978065854937282,0.978065854937282,,,,,,,2014-12-31,2014-09-01,3
ablation_20260811T165312Z_69334f2b,one_step_201610,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2016-09,2016-10,2016-10,0.035028800019063056,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,409792.8202937795,409792.8202937795,12.844825033798326,12.069661577873603,12.844825033798328,2.076573530945167,1.356247058743446,,409792.8202937795,1.0,409792.8202937795,409792.8202937795,12.844825033798326,12.069661577873603,12.844825033798328,2.076573530945167,1.356247058743446,,409792.8202937795,1.0,971472.0,971472.0,30.450479479578004,26.426917876971874,30.450479479578,4.922812068323068,3.2151760045650883,,971472.0,0.5781733078320533,0.5781733078320533,,,,,,,2016-09-30,2016-06-01,3
ablation_20260811T165312Z_69334f2b,one_step_201611,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2016-10,2016-11,2016-11,0.03286220005247742,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,521798.4670747067,521798.4670747067,27.760774998986854,32.235136913584654,27.760774998986857,2.4321784417421797,1.4792699702063727,,-521798.4670747067,1.0,521798.4670747067,521798.4670747067,27.760774998986854,32.235136913584654,27.760774998986857,2.4321784417421797,1.4792699702063727,,-521798.4670747067,1.0,357373.0,357373.0,19.012994613287223,17.36243518048653,19.012994613287226,1.6657674583323068,1.0131328097345182,,357373.0,-0.46009482270542734,-0.46009482270542734,,,,,,,2016-10-31,2016-07-01,3
ablation_20260811T165312Z_69334f2b,one_step_201612,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2016-11,2016-12,2016-12,0.0336010999744758,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,387734.44918772206,387734.44918772206,23.795111983442606,27.00845845003648,23.795111983442606,1.6433989969243683,0.9272174207457419,,-387734.44918772206,1.0,387734.44918772206,387734.44918772206,23.795111983442606,27.00845845003648,23.795111983442606,1.6433989969243683,0.9272174207457419,,-387734.44918772206,1.0,84336.0,84336.0,5.175667440537451,5.045108423529243,5.175667440537451,0.35745520702368977,0.2016787741193286,,84336.0,-3.5974963145954524,-3.5974963145954524,,,,,,,2016-11-30,2016-08-01,3
ablation_20260811T165312Z_69334f2b,one_step_201701,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2016-12,2017-01,2017-01,0.03530909994151443,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,650957.4901517169,650957.4901517169,41.506040138624996,52.37554815959901,41.506040138624996,2.620016365367671,1.4776452946046423,,-650957.4901517169,1.0,650957.4901517169,650957.4901517169,41.506040138624996,52.37554815959901,41.506040138624996,2.620016365367671,1.4776452946046423,,-650957.4901517169,1.0,122943.0,122943.0,7.839032763220313,7.543369172768329,7.839032763220314,0.4948290431873265,0.2790752824923147,,122943.0,-4.294791001941688,-4.294791001941688,,,,,,,2016-12-31,2016-09-01,3
ablation_20260811T165312Z_69334f2b,one_step_201702,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2017-01,2017-02,2017-02,0.07170810003299266,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,932772.4676924376,932772.4676924376,65.12218923221114,96.56471863163341,65.12218923221114,3.6415489849746923,2.075143633812198,,-932772.4676924376,1.0,932772.4676924376,932772.4676924376,65.12218923221114,96.56471863163341,65.12218923221114,3.6415489849746923,2.075143633812198,,-932772.4676924376,1.0,85162.0,85162.0,5.945647059152074,5.7739963374359204,5.945647059152074,0.33247292925102817,0.189460332786093,,85162.0,-9.952918762974537,-9.952918762974537,,,,,,,2017-01-31,2016-10-01,3
ablation_20260811T165312Z_69334f2b,one_step_201703,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2017-02,2017-03,2017-03,0.03089429996907711,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,1214742.6827545986,1214742.6827545986,65.87270170831346,98.22415354264446,65.87270170831346,4.722716482888271,2.707692179079058,,-1214742.6827545986,1.0,1214742.6827545986,1214742.6827545986,65.87270170831346,98.22415354264446,65.87270170831346,4.722716482888271,2.707692179079058,,-1214742.6827545986,1.0,54686.0,54686.0,2.9654959990802983,2.9221676171931565,2.9654959990802983,0.21261002618066627,0.12189647783622906,,54686.0,-21.21304689965619,-21.21304689965619,,,,,,,2017-02-28,2016-11-01,3
ablation_20260811T165312Z_69334f2b,one_step_201704,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2017-03,2017-04,2017-04,0.03131959994789213,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,1490849.3723444776,1490849.3723444776,65.43008597374622,97.24326042295189,65.43008597374622,5.837039448291097,3.3399642460422085,,-1490849.3723444776,1.0,1490849.3723444776,1490849.3723444776,65.43008597374622,97.24326042295189,65.43008597374622,5.837039448291097,3.3399642460422085,,-1490849.3723444776,1.0,229300.0,229300.0,10.063470523642792,10.596666740607647,10.063470523642792,0.8977655089248605,0.5137030043572499,,-229300.0,-5.50174170233091,-5.50174170233091,,,,,,,2017-03-31,2016-12-01,3
ablation_20260811T165312Z_69334f2b,one_step_201705,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2017-04,2017-05,2017-05,0.030373799963854253,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,1133581.3462570563,1133581.3462570563,36.62287785917588,44.83232092631491,36.62287785917588,4.462106241510474,2.5517578777549694,,-1133581.3462570563,1.0,1133581.3462570563,1133581.3462570563,36.62287785917588,44.83232092631491,36.62287785917588,4.462106241510474,2.5517578777549694,,-1133581.3462570563,1.0,345634.0,345634.0,11.166478530873762,11.826796899192976,11.166478530873762,1.3605160615694374,0.7780423392040896,,-345634.0,-2.2797159604004706,-2.2797159604004706,,,,,,,2017-04-30,2017-01-01,3
ablation_20260811T165312Z_69334f2b,one_step_201706,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2017-05,2017-06,2017-06,0.030028800014406443,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,632873.3907549763,632873.3907549763,18.136132189133118,19.94473383574374,18.136132189133118,2.5081880935052,1.4316884608835379,,-632873.3907549763,1.0,632873.3907549763,632873.3907549763,18.136132189133118,19.94473383574374,18.136132189133118,2.5081880935052,1.4316884608835379,,-632873.3907549763,1.0,793423.0,793423.0,22.736971754702296,25.653371692645045,22.736971754702296,3.1444743147427525,1.7948843643821146,,-793423.0,0.2023505863140137,0.2023505863140137,,,,,,,2017-05-31,2017-02-01,3
ablation_20260811T165312Z_69334f2b,one_step_201707,one_step_ex_ante_snapshot_vintage_sensitivity,ridge_recursive_b0,2008-01,2017-06,2017-07,2017-07,0.03156240005046129,pre-specified first grid configuration; no tuning; parameters={'model__alpha': 0.1},1.0,1041712.9995886316,1041712.9995886316,20.69976122324845,23.089496549998376,20.69976122324845,4.161415424361342,2.3683747548751284,,-1041712.9995886316,1.0,1041712.9995886316,1041712.9995886316,20.69976122324845,23.089496549998376,20.69976122324845,4.161415424361342,2.3683747548751284,,-1041712.9995886316,1.0,1549944.0,1549944.0,30.79876196426102,36.40488961168907,30.79876196426102,6.191687029962553,3.5238575716342027,,-1549944.0,0.32790281481870853,0.32790281481870853,,,,,,,2017-06-30,2017-03-01,3
