run_id,definition,incident_lag_months,outcome,security_term,target_months,coefficient_log_points_per_incident,hac_standard_error,hac_p_value,hac_95_ci_lower,hac_95_ci_upper,approx_percent_difference_per_incident,controls,interpretation,bh_adjusted_p_value_family_all_definition_lag_tests,multiple_testing_family_size
gtd_20260811T172334Z_6527a1fb,known_coordinates_only,2,log1p_monthly_departing_visitors,monthly_incidents_lag_2,151,-0.0011913124950333857,0.0020303324268034707,0.5573666779137423,-0.005170690928211994,0.0027880659381452223,-0.11906031640092402,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,known_coordinates_only,3,log1p_monthly_departing_visitors,monthly_incidents_lag_3,150,-0.0012896611987056397,0.0019643148791153686,0.5114734953462858,-0.005139647616067913,0.0025603252186566327,-0.1288829943086357,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,known_coordinates_only,6,log1p_monthly_departing_visitors,monthly_incidents_lag_6,147,-0.0012473187768860233,0.0018017636074060016,0.48876364477438816,-0.004778710556056751,0.002284073002284705,-0.12465411981502245,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,known_coordinates_only,12,log1p_monthly_departing_visitors,monthly_incidents_lag_12,141,-0.0016450942596456697,0.0017928948640276517,0.3588476173615953,-0.005159103621206704,0.0018689151019153651,-0.16437418338084295,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,strict_known_coordinates,0,log1p_monthly_departing_visitors,monthly_incidents_lag_0,153,-2.691187639257718e-05,0.002972693639355991,0.9927768280291166,-0.00585328434660162,0.005799460593816465,-0.002691151427128016,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9974414175643784,54
gtd_20260811T172334Z_6527a1fb,strict_known_coordinates,1,log1p_monthly_departing_visitors,monthly_incidents_lag_1,152,-0.0009981957789579419,0.0027140774997005453,0.7130338882025501,-0.00631768992962153,0.004321298371705647,-0.09976977472762015,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,strict_known_coordinates,2,log1p_monthly_departing_visitors,monthly_incidents_lag_2,151,-0.0015209893471511554,0.002765469867977564,0.582324105837458,-0.006941210688717919,0.0038992319944156084,-0.15198332290761268,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,strict_known_coordinates,3,log1p_monthly_departing_visitors,monthly_incidents_lag_3,150,-0.0019438020640171819,0.002569695398580917,0.4493897069863889,-0.006980312496474078,0.003092708368439714,-0.19419141042566274,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,strict_known_coordinates,6,log1p_monthly_departing_visitors,monthly_incidents_lag_6,147,-0.001868479868857617,0.002425608440065807,0.44111371996593896,-0.006622585051982981,0.0028856253142677465,-0.1866735347051239,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,strict_known_coordinates,12,log1p_monthly_departing_visitors,monthly_incidents_lag_12,141,-0.0025277694906146167,0.002405480061274338,0.29333306967998685,-0.007242423776241521,0.002186884795012288,-0.2524577371529326,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,within_100km_tourism_centers,0,log1p_monthly_departing_visitors,monthly_incidents_lag_0,153,-0.002188412654483597,0.01329572386968197,0.86926259029079,-0.028247552587449775,0.023870727278482582,-0.21860198253279228,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,within_100km_tourism_centers,1,log1p_monthly_departing_visitors,monthly_incidents_lag_1,152,-0.001847225129561203,0.012760690999070706,0.8849011382663496,-0.026857719905584228,0.023163269646461822,-0.1845520059266055,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,within_100km_tourism_centers,2,log1p_monthly_departing_visitors,monthly_incidents_lag_2,151,-0.006527904308781529,0.012118824689253738,0.5901227201801929,-0.030280364234673667,0.017224555617110608,-0.6506643828730938,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,within_100km_tourism_centers,3,log1p_monthly_departing_visitors,monthly_incidents_lag_3,150,-0.004641382954109367,0.015418799119572663,0.7633984502215531,-0.034861673913329685,0.025578908005110947,-0.4630628381376427,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,within_100km_tourism_centers,6,log1p_monthly_departing_visitors,monthly_incidents_lag_6,147,-0.0038797952606828556,0.014573272720113186,0.7900645706446129,-0.03244288492898477,0.024683294407619058,-0.38722785792542724,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.9598468723360536,54
gtd_20260811T172334Z_6527a1fb,within_100km_tourism_centers,12,log1p_monthly_departing_visitors,monthly_incidents_lag_12,141,-0.023626295532434272,0.012959217609605962,0.06828420475145605,-0.049025895315079206,0.001773304250210661,-2.334937973063618,calendar-month indicators; linear trend; GTD method breaks 2008-04 and 2012-01,descriptive association only; not causal evidence,0.6153943800803369,54
