run_id,protocol,model,regime,support,observations,unique_target_months,folds,support_start,support_end,mae,rmse,mape_pct,smape_pct,wape_pct,bias_forecast_minus_actual,r2,interval_95_observations,interval_95_coverage,interval_95_mean_width,interval_95_median_width,interval_95_winkler
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,hist_gradient_boosting_recursive_b0,pandemic_shock,model_full_evaluable_support,7,7,1,2020-03-01,2020-12-01,2229643.5640752716,2500461.600569134,169.9294708783539,80.41736238597771,138.7960514483598,2229643.5640752716,-11.57946809254911,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,hist_gradient_boosting_recursive_b0,pre_pandemic,model_full_evaluable_support,62,62,6,2015-01-01,2020-02-01,717474.7946692663,1046792.8614749752,17.73902963983693,19.779609854079858,20.81843811239417,-543431.1284027806,0.6197392291927065,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,hist_gradient_boosting_recursive_b0,recovery,model_full_evaluable_support,24,24,2,2021-01-01,2022-12-01,1369487.6237789209,1748394.4064626193,48.54482420959712,49.157823998462696,40.71489320561429,-891257.0983198747,0.23891522204338245,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,naive_last,normalization,model_full_evaluable_support,36,36,3,2023-01-01,2025-12-01,2227619.722222222,2703882.9697326543,64.17284321931145,41.95761891961368,43.76775005064484,1847704.7222222222,-0.8486491863689594,36,0.8888888888888888,11282551.465059184,11474484.933300346,11910872.898747914
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,naive_last,pandemic_shock,model_full_evaluable_support,7,7,1,2020-03-01,2020-12-01,5135351.857142857,5183518.452229625,412.4395777643234,125.3010320374112,319.67735653077125,5135351.857142857,-53.0593969410766,7,0.7142857142857143,12002606.606105769,12325905.86126095,21514495.876788896
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,naive_last,pre_pandemic,model_full_evaluable_support,62,62,6,2015-01-01,2020-02-01,2248942.0161290322,2568186.1569150286,96.62905273054811,56.73045835778492,65.25589543912486,1852645.435483871,-1.2888272791650306,62,0.8709677419354839,10294482.017664848,10387277.21643604,12064528.19909329
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,naive_last,recovery,model_full_evaluable_support,24,24,2,2021-01-01,2022-12-01,1601491.9583333333,1789077.2724496254,73.6289255663336,51.69765004708679,47.61238650209069,156535.375,0.20308423839448542,24,1.0,10953209.90608224,11149310.86326874,10953209.90608224
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ridge_recursive_b0,normalization,model_full_evaluable_support,36,36,3,2023-01-01,2025-12-01,2316013.3550372515,2720536.4732668675,41.80779315018277,56.35705838060593,45.50448742485756,-2280224.94875562,-0.8714913690586144,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ridge_recursive_b0,pandemic_shock,model_full_evaluable_support,7,7,1,2020-03-01,2020-12-01,1792756.2245161445,2080825.6744528655,139.09814580823993,70.22716743646389,111.5996696429411,1792756.2245161445,-7.711507091384918,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ridge_recursive_b0,pre_pandemic,model_full_evaluable_support,62,62,6,2015-01-01,2020-02-01,782723.1202191708,1053278.3682124477,24.903144877249336,22.483180047361206,22.711700757284987,223918.12677534908,0.6150127477223228,0,,,,
