run_id,protocol,model,year,support,observations,unique_target_months,folds,support_start,support_end,mae,rmse,mape_pct,smape_pct,wape_pct,bias_forecast_minus_actual,r2,interval_95_observations,interval_95_coverage,interval_95_mean_width,interval_95_median_width,interval_95_winkler
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,naive_last,2023,model_full_evaluable_support,12,12,1,2023-01-01,2023-12-01,2305876.5833333335,2729270.165029701,71.07588566506217,45.54906592892495,48.47890775197535,1892128.75,-0.9253991226389728,12,0.9166666666666666,11051296.195069589,11249282.722085733,11890318.299662458
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,naive_last,2024,model_full_evaluable_support,12,12,1,2024-01-01,2024-12-01,2188656.4166666665,2681065.9044437436,61.53491852924912,40.607129441577364,42.202867259903826,1827823.75,-0.8684138105741803,12,0.8333333333333334,11290617.301925046,11492891.321915008,11946523.452648995
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,naive_last,2025,model_full_evaluable_support,12,12,1,2025-01-01,2025-12-01,2188326.1666666665,2701095.948747255,59.90772546362303,39.71666138833871,41.08436095680001,1823161.6666666667,-0.8368372965350639,12,0.9166666666666666,11505740.898182916,11711868.907148514,11895776.943932286
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ridge_recursive_b0,2015,model_full_evaluable_support,12,12,1,2015-01-01,2015-12-01,342592.12483689486,427882.67673686176,14.138803963142168,12.435597181809309,9.878302242491843,299861.67828776344,0.9334276616910779,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ridge_recursive_b0,2016,model_full_evaluable_support,12,12,1,2016-01-01,2016-12-01,1383061.5239469905,1511891.0945301473,52.76848001343149,41.03577455296474,52.91428088436084,1383061.5239469905,-1.4324124058243308,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ridge_recursive_b0,2017,model_full_evaluable_support,12,12,1,2017-01-01,2017-12-01,480435.5235917692,614769.0601905858,17.477283914706465,15.646592259407738,14.927950500033651,282015.16543238366,0.8424921698961343,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ridge_recursive_b0,2018,model_full_evaluable_support,12,12,1,2018-01-01,2018-12-01,599331.820196032,754076.0690740567,17.741731019397935,16.236765354158624,15.761978624126538,378853.7848804325,0.8031115590252759,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ridge_recursive_b0,2019,model_full_evaluable_support,12,12,1,2019-01-01,2019-12-01,1181896.0943750811,1515475.8179340048,23.996992473012515,28.040388948410243,27.348132754117273,-1130129.4633559843,0.43156533373364825,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ridge_recursive_b0,2020,model_full_evaluable_support,9,9,1,2020-01-01,2020-12-01,1470035.7757600436,1842272.6022437443,111.57805627142798,58.31176838118151,83.59724259557115,1318696.1290428475,-6.068316983885632,0,,,,
run_20260811T162732Z_6bbfe89e,fixed_origin_12m_ex_ante,ridge_recursive_b0,2021,model_full_evaluable_support,12,12,1,2021-01-01,2021-12-01,3195243.7917904123,8003506.595899704,146.89634066008568,52.366204382370476,130.60708107333713,2886285.729037234,-24.418440695881984,0,,,,
