fold_id,protocol,model,train_start,train_end,test_start,test_end,runtime_seconds,notes,n,mae,rmse,mape,smape,wape,mase,rmsse,r2,bias,seasonal_naive_mae,seasonal_naive_rmse,mae_skill_vs_seasonal_naive,rmse_skill_vs_seasonal_naive,interval_95_coverage,interval_95_mean_width,interval_95_winkler
fixed_12m_2015,fixed_origin_12m_ex_ante,same_month_historical_mean,2008-01,2014-12,2015-01,2015-12,0.001527199987322092,,12.0,501202.40476190485,561455.592518233,15.19030585557402,16.590765555861996,14.451671477442664,2.777206637704514,2.421654958741723,0.885376087653299,-501202.40476190485,106125.25,131039.15777195507,-3.722744160903318,-3.28463981350768,0.8333333333333334,1374287.815350769,3007335.097514873
fixed_12m_2015,fixed_origin_12m_ex_ante,seasonal_moving_average_3,2008-01,2014-12,2015-01,2015-12,0.017657299991697073,,12.0,216563.36111111115,283556.34210092603,6.845154122846457,7.200719942134945,6.244388532643453,1.1999966445633694,1.2230274862015422,0.9707636512280611,-216563.36111111115,106125.25,131039.15777195507,-1.0406393493641821,-1.1639054075301192,0.9166666666666666,933895.6126456318,1892429.5915695794
fixed_12m_2015,fixed_origin_12m_ex_ante,ets_holt_winters,2008-01,2014-12,2015-01,2015-12,0.10035829991102219,,12.0,169182.6471247261,188481.94059321954,5.918048558314129,5.705602440875958,4.878212899022562,0.9374559381901082,0.8129551689451029,0.9870823387139902,140730.7247357144,106125.25,131039.15777195507,-0.5941790207771109,-0.4383634922412356,1.0,1736779.9490272114,1736779.9490272114
fixed_12m_2015,fixed_origin_12m_ex_ante,theta,2008-01,2014-12,2015-01,2015-12,0.06688269996084273,,12.0,138533.94236254145,164850.12852578537,4.596412920831794,4.634576102365997,3.9944880640576623,0.7676287675822174,0.7110270812392244,0.9901184975262337,13209.11640559719,106125.25,131039.15777195507,-0.3053815407977032,-0.2580218869589417,1.0,8777064.847126387,8777064.847126387
fixed_12m_2015,fixed_origin_12m_ex_ante,sarima_111_111_12,2008-01,2014-12,2015-01,2015-12,0.0983710999134928,,12.0,291026.79779890087,328023.5043649067,9.796022941274641,9.205732731222595,8.39146746496521,1.6126051010887517,1.4148220384915253,0.960875001714766,291026.79779890087,106125.25,131039.15777195507,-1.7422955215549631,-1.5032479599400332,0.9166666666666666,937993.1480462454,1068131.3100488307
fixed_12m_2015,fixed_origin_12m_ex_ante,dynamic_harmonic_arima_k2,2008-01,2014-12,2015-01,2015-12,0.059123899904079735,,12.0,288842.48907029774,376273.0393845134,10.332210664928446,9.64413220323589,8.328485101251136,1.6005016541734196,1.6229306178595695,0.9485185694415973,103206.64873805636,106125.25,131039.15777195507,-1.7217131556373033,-1.8714549588248586,0.8333333333333334,1378435.5194993105,1869663.2748017951
fixed_12m_2016,fixed_origin_12m_ex_ante,naive_last,2008-01,2015-12,2016-01,2016-12,0.0012710000155493617,,12.0,950496.9166666666,1322754.0593142211,28.77748051495513,37.186776564348946,36.36487600688008,5.596119206795435,6.004619760195028,-0.8618916225543709,-899970.4166666666,854350.1666666666,1119935.3130836026,-0.1125378723517152,-0.18109862584132852,1.0,8631514.52134602,8631514.52134602
fixed_12m_2016,fixed_origin_12m_ex_ante,seasonal_naive,2008-01,2015-12,2016-01,2016-12,0.0037087000673636794,,12.0,854350.1666666666,1119935.3130836026,27.35829874172714,22.817967137203876,32.686416265552324,5.030048275989198,5.083927479737582,-0.33469511026647925,854350.1666666666,854350.1666666666,1119935.3130836026,0.0,0.0,0.5833333333333334,1732550.012061516,12890926.87222231
fixed_12m_2016,fixed_origin_12m_ex_ante,drift,2008-01,2015-12,2016-01,2016-12,0.000942499958910048,,12.0,927714.9798245613,1292927.3571588679,28.14657936542349,36.016699592002375,35.49326633205325,5.461988909164163,5.869221948423172,-0.7788709444722244,-862949.7692982455,854350.1666666666,1119935.3130836026,-0.08587206513242096,-0.1544661035814232,1.0,14294536.704334252,14294536.704334252
fixed_12m_2016,fixed_origin_12m_ex_ante,same_month_historical_mean,2008-01,2015-12,2016-01,2016-12,0.0014452999457716942,,12.0,557539.3541666666,692255.371261025,19.243497828073398,17.77732690899689,21.330789324734965,3.2825531926376468,3.142481591423082,0.4900485157110479,415798.0625,854350.1666666666,1119935.3130836026,0.3474111951754365,0.3818791467919822,0.6666666666666666,1478332.4674731025,6045915.184319085
